Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
57223,1921.07,19630701,female,0,1 -HH (female)
8764,2153.29,19680101,female,0,1 -HH (female)
700423746,#NULL!,19461101,male,0,2-HH
876568375,4960.51,19570601,female,0,2-HH
788789071,718.05,19510501,female,0,1 -HH (female)
726321966,#NULL!,19520901,male,0,2-HH
86411,3507.69,19581201,female,0,3-HH
16122230,4851.38,19660401,male,0,3-HH
1348325,4506.29,19471001,female,0,2-HH
273896756,2831.03,19650901,male,0,2-HH
350407,7790.67,19640801,female,0,5-HH
55958925,1649.93,19570101,female,0,2-HH
2625489,3853.63,19650501,male,0,2-HH
59781,#NULL!,19460501,male,0,3-HH
585172843,3677.64,19540101,male,0,2-HH
81639,2187.10,19530401,female,0,2-HH
81245,2990.33,19550501,female,0,2-HH
70652673,5083.80,19501201,female,0,2-HH
552098,2239.41,19750201,female,0,2-HH
858158937,3377.13,19711001,male,0,3-HH
3641,#NULL!,19480601,male,0,1-HH (male)
39351607,1343.92,19521101,female,0,2-HH
966290670,3458.13,19501201,female,0,2-HH
798896,6006.84,19720801,female,0,4-HH
869414,2187.10,19580201,female,0,2-HH
31611,3368.03,19810101,female,0,3-HH
803930399,5634.25,19620801,male,0,3-HH
821481680,1210.39,19560101,female,0,2-HH
292824,2360.46,19561201,male,0,2-HH
733580,2739.54,19620601,female,0,2-HH
295116,6495.48,19540501,female,0,2-HH
1213,4240.94,19580701,male,0,2-HH
27538962,#NULL!,19660901,male,0,1-HH (male)
724271643,#NULL!,19840201,male,1 child,5-HH
1221,2202.37,19550501,female,0,2-HH
27396237,718.05,19531201,female,0,1 -HH (female)
92326,3677.64,19610101,male,0,2-HH
47791628,#NULL!,19680801,male,0,3-HH
4666,6902.18,19511101,female,0,3-HH
423267758,14248.61,19881001,male,0,3-HH
73739,5083.80,19590701,female,0,2-HH
14626430,5505.38,19610901,female,0,1 -HH (female)
57326,1580.18,19560801,female,0,1 -HH (female)
47231,#NULL!,19730701,male,0,4-HH
2776,2905.69,19490901,female,0,2-HH
56960,5490.64,19501101,male,0,2-HH
296688286,7506.37,19671201,female,0,3-HH
858108,5298.88,19690801,female,0,4-HH
82831270,4960.51,19500201,female,0,2-HH
23326529,6691.51,19490801,male,0,2-HH
4769,2555.09,19680501,female,0,2-HH
901752406,3706.34,19671001,male,0,2-HH
1862,2966.01,19520701,male,0,2-HH
72575266,#NULL!,19600701,male,0,2-HH
13829,#NULL!,19600101,male,0,2-HH
2140662,5083.80,19470901,female,0,2-HH
1175945,6471.16,19490401,male,0,2-HH
8859332,8480.15,19740501,male,0,2-HH
8595334,#NULL!,19400201,female,0,2-HH
789861518,5319.22,19570301,male,0,2-HH
2803,6670.19,19720801,female,0,4-HH
8936,12725.58,19761201,male,0,4-HH
60388514,2660.98,19790101,female,0,1 -HH (female)
546946,6303.15,19750501,female,0,5-HH
17335,3934.93,19601201,male,0,2-HH
7809,2975.92,19651001,female,0,1 -HH (female)
66122,35075.51,20000701,male,0,5-HH
423014,2363.40,19531101,male,0,1-HH (male)
72249,#NULL!,19631101,female,0,3-HH
131099,3900.77,19810601,male,0,3-HH
118734,4688.98,19710301,male,0,2-HH
18428616,2107.86,19631101,male,0,1-HH (male)
493707,5032.45,19571001,female,0,2-HH
4750,5868.55,19610601,male,0,1-HH (male)
247394520,7514.30,19700501,male,0,3-HH
70610039,6655.85,19650201,male,0,4-HH
786395450,6023.43,19590101,male,0,1-HH (male)
754639,1921.07,19640401,female,0,1 -HH (female)
156,2072.91,19591101,male,0,1-HH (male)
9067600,#NULL!,19500101,female,0,1 -HH (female)
62166187,6495.48,19581201,female,0,2-HH
9776,1771.60,19590701,male,0,1-HH (male)
94422,3290.33,19670801,male,0,2-HH
7730,2360.46,19620301,male,0,2-HH
411352514,5223.83,19660301,male,0,4-HH
8732,6691.51,19500201,male,0,2-HH
616982,806.78,19561001,female,0,1 -HH (female)
60606987,4768.32,19640501,female,0,3-HH
3600,718.05,19690401,male,0,3-HH
97987,6678.95,19680401,male,0,4-HH
6619,1870.23,19650101,male,0,1-HH (male)
529119605,2363.40,19610801,male,0,1-HH (male)
4507631,4240.94,19420501,male,0,2-HH
8848,2990.33,19590401,female,0,2-HH
678280446,#NULL!,19640701,male,0,2-HH
